"","Post","Date","Url","Author","Full.Text"
"1770","NPR review","2024-04-24 20:44:43.0","http://twitter.com/ioveyourparty/statuses/1783235646280110210","ioveyourparty","the good kind"
"1771","NPR review","2024-04-24 20:43:15.0","http://twitter.com/MarkyMark_Jr81/statuses/1783235275000274968","MarkyMark_Jr81","@taylorswift13 @annkpowers @nprmusic So dramatic and you paid for that Review like you pay for everything else. Nothing about you or anything you do is natural or organic. Ever since Kanye, Kim K and Scooter destroyed your ego you have never been the same. They turned you into a narcissistic, capitalist, money… https://t.co/RIES62q8uv"
"1772","NPR review","2024-04-24 20:42:35.0","http://twitter.com/ijbolgron/statuses/1783235110197686400","ijbolgron","“(the good kind)” She’s already ran out of happy lyrics bfjskdjsh https://t.co/3q7ysX675e"
"1773","NPR review","2024-04-24 20:41:38.0","http://twitter.com/RottoTyi41969/statuses/1783234868085694943","RottoTyi41969","@taylorswift13 @annkpowers @nprmusic 💾 From Chaos to Clarity: That’s the xData Promise! @Web3Go GoDIN"
"1774","NPR review","2024-04-24 20:40:51.0","http://twitter.com/m_r_vin/statuses/1783234670584275435","m_r_vin","@taylorswift13 @annkpowers @nprmusic So, you’re down...good...?"
"1775","NPR review","2024-04-24 20:40:12.0","http://twitter.com/VictorVfoc/statuses/1783234509959237641","VictorVfoc","@taylorswift13 @annkpowers @nprmusic WE LOVE YOU TAYLOR"
"1776","NPR review","2024-04-24 20:38:38.0","http://twitter.com/folkmoonlore/statuses/1783234113803014160","folkmoonlore","she’s run out of happy lyrics 😭"
"1777","NPR review","2024-04-24 20:36:36.0","http://twitter.com/_Jacob89_/statuses/1783233603859628353","_Jacob89_","Oh she is running out of happy lyrics"
"1778","NPR review","2024-04-24 20:32:54.0","http://twitter.com/cosyswift/statuses/1783232672237584425","cosyswift","@taylorswift13 @annkpowers @nprmusic she's alive...babe release the anthology vinyls 🥲"
"1779","NPR review","2024-04-24 20:32:17.0","http://twitter.com/hi_gillian/statuses/1783232514934653267","hi_gillian","@taylorswift13 @annkpowers @nprmusic Thank you for posting them so we know who are getting paid 🤍"
"1780","NPR review","2024-04-24 20:32:09.0","http://twitter.com/Keith5061379035/statuses/1783232484496621724","Keith5061379035","@taylorswift13 @annkpowers @nprmusic BIDEN NEW 44% CAPITAL GAINS TAX BEGINNING IN 2025. WOW. THIS IS ON TOP OF THE STATE CAPITAL GAIN TAX. WAIT UNTIL BIDEN GETS A SECOND TERM. THE DEMOCRATIC PARTY WILL GO TAX CRAZY."
"1781","NPR review","2024-04-24 20:30:49.0","http://twitter.com/fantabuwous/statuses/1783232148037587156","fantabuwous","@taylorswift13 @annkpowers @nprmusic My favorite is the one that says this is an era endured exactly... oh and the one that's says this album was written in blood"
"1782","NPR review","2024-04-24 20:30:10.0","http://twitter.com/LaModaCocktail/statuses/1783231983159542078","LaModaCocktail","My favorite thing about this album and her work is how you relate because it is not watered down as universal experience, it’s nuanced and personal, just like every single one of us, I can understand it and feel how we are singular beings is not about being a perfect mirror"
"1783","NPR review","2024-04-24 20:29:13.0","http://twitter.com/tisthedamnpoets/statuses/1783231744058990892","tisthedamnpoets","Girls having a hard time trying to find cute/happy lyrics off of her own album 😭"
"1784","NPR review","2024-04-24 20:28:43.0","http://twitter.com/poetsoftorture/statuses/1783231620364820635","poetsoftorture","running out of happy lyrics https://t.co/HE5hnFEUXK"
"1785","NPR review","2024-04-24 20:27:48.0","http://twitter.com/chinitoprablems/statuses/1783231388613025832","chinitoprablems","@taylorswift13 @annkpowers @nprmusic follow back icon 🙂‍↕️"
"1786","NPR review","2024-04-24 20:27:15.0","http://twitter.com/Lord_o_Flys/statuses/1783231250742001905","Lord_o_Flys","@taylorswift13 @annkpowers @nprmusic NPR should be defunded. They have 💯 % liberal staff. What happened to fair and balanced content."
"1787","NPR review","2024-04-24 20:26:50.0","http://twitter.com/getareycar/statuses/1783231147125751995","getareycar","she ran out of happy lyrics *giggles*"
"1788","NPR review","2024-04-24 20:26:36.0","http://twitter.com/gi_reads/statuses/1783231087705014315","gi_reads","@taylorswift13 @annkpowers @nprmusic I can't stop listening 😌"
"1789","NPR review","2024-04-24 20:26:13.0","http://twitter.com/Delga_f1/statuses/1783230988828484008","Delga_f1","@taylorswift13 @annkpowers @nprmusic Crying for Alonso? 🤭 https://t.co/8u43VxQi9B"
"1790","NPR review","2024-04-24 20:26:02.0","http://twitter.com/pamelvsrc/statuses/1783230944498844020","pamelvsrc","Tay is lurking"
"1791","NPR review","2024-04-24 20:25:56.0","http://twitter.com/ItsAllOne01/statuses/1783230916829278364","ItsAllOne01","@taylorswift13 @annkpowers @nprmusic 💗So Sexy Taylor!💗"
"1792","NPR review","2024-04-24 20:23:55.0","http://twitter.com/lvroftswft/statuses/1783230411088298204","lvroftswft","she’s soooo funny 😭😭😭 https://t.co/5iUsZIDzJ5"
"1793","NPR review","2024-04-24 20:23:55.0","http://twitter.com/losethiswithyou/statuses/1783230411071430735","losethiswithyou","@taylorswift13 @annkpowers @nprmusic the good kind ijbol"
"1794","NPR review","2024-04-24 20:23:48.0","http://twitter.com/SwiftCriminal13/statuses/1783230383489708206","SwiftCriminal13","@taylorswift13 @annkpowers @nprmusic you built a legacy they can’t undo 🤍 #TSTTPD https://t.co/WnBmGYwT6s"
"1795","NPR review","2024-04-24 20:23:29.0","http://twitter.com/zbridgery/statuses/1783230302892314944","zbridgery","@taylorswift13 @annkpowers @nprmusic I'd listen to it"
"1796","NPR review","2024-04-24 20:23:14.0","http://twitter.com/mirrorballstory/statuses/1783230240237486242","mirrorballstory","@taylorswift13 @annkpowers @nprmusic hi taylor i love you and I'm so so proud of you 🤍🤍🤍🤍🤍"
"1797","NPR review","2024-04-24 20:22:59.0","http://twitter.com/ivyromance/statuses/1783230174730825781","ivyromance","@taylorswift13 @annkpowers @nprmusic DOWN BAD CRYING (THE GOOD KIND) AT THE GYM"
"1798","NPR review","2024-04-24 20:22:30.0","http://twitter.com/wretchedzack/statuses/1783230056535363653","wretchedzack","the good kind 😭😭😭 taylor"
"1799","NPR review","2024-04-24 20:21:47.0","http://twitter.com/redscarf13lvr/statuses/1783229875295584529","redscarf13lvr","@taylorswift13 @annkpowers @nprmusic Love you Taylor 🤍🤍"
